이름,사육조건,음식,습성,주의사항
기니피그,케이지를 자주 청소하여 항상 깨끗이 한다.  기니피그의 건강에 유익한 온도는 18도에서 23도까지이다. 습기와 지나친 더위에 약하므로 주의하여야 한다.,"주식은 건초인데, 알팔파 건초와 티모시 건초로 나뉜다.  알팔파 건초는 보통 6개월전까지 먹이고 티모시 건초는 6개월 이후에 먹인다.   알팔파나 티모시를 먹일 땐 최대 무한증정을 해주어야 한다.",굉장히 온순하며 겁이 많은 편이다.   거의 모든 설치류의 특성상 기니피그도 어둡고 음침한 구석을 좋아하기 때문에 어디서 키우든 반드시 숨을 은신처를 마련해 줘야 한다.,식성은 채식이므로 곡물류는 주면 안 된다. '꾹 꾹' 하는 소리와 함께 몸을 움찔거리며 뭔가를 뱉어내려는 행동을 하는데 입에서 나오는 것은 없다. 
친칠라,성체 두 마리 정도가 충분하게 생활할 수 있는 공간이 필요하며 공간을 이탈하지 못하게 천장까지 신경을 써야 한다. 설치류 특성상 갉아먹는 습성이 강하므로 플라스틱으로 된 케이지 보다 철제 또는 수제작 케이지가 안전하다.,"친칠라는 기본 식단인 건초와 전용 사료 급여에 충실해야 한다.  기본 식단은 탄수화물 25 ~ 35%, 단백질 15 ~ 20%, 섬유질 30 ~ 35% 를 주축으로 설탕 5% 이하, 지방 3% 이하로 구성되어 있으며, 알파파와 티모시 두 종류가 있다.","굴이나 바위 틈에 서식하면서 주로 새벽이나 황혼 무렵에 활동하며, 식물의 잎, 과일, 씨앗 및 작은 곤충 등을 식량으로 삼는다. 최대 4,270 m 고도에서 무리를 이루고 산다. 때로는 집단 거주(colonies)에 가까운 사회 집단을 이루며 생활하기도 한다.","원래 건조하고 추운 곳에서 사는 동물이므로 온도와 습도 관리가 철저해야 한다. 친칠라는 조밀한 털 구조를 가지고 있는 까닭에 온도와 습도에 대한 적응이 느리고, 땀을 흘리지 않는 특성으로 말미암아 사람처럼 체온을 조절할 수 없다. "
햄스터,"일단 햄스터의 쳇바퀴는 크면 클수록 좋다. 되도록이면 좌측 녹색 쳇바퀴를 구비해주는게 가장 좋지만 상황이 어여치 않다면 최소 크기의 쳇바퀴라도 구비해줘야한다. 참고로, 골든 햄스터는 무조건 좌측 쳇바퀴를 구비해줘야한다.","혼합사료 : 펠렛, 익스, 각종 견과류, 각종 알곡, 옥수수, 밀웜 등등이 섞여있는 사료. 가장 일반적인 햄스터 사료로 햄스터 입장에서도 골라먹는 재미가 있기 때문에 사용하기 적합하다. 단점으로는 어느 햄스터나 예외없이 편식을 하기 때문에 포장지에 적혀 있는 영양비가 제대로 지켜진다는 보장이 없다. ","햄스터는 야생에서 굴을 파며 다니기 때문에 기본적인 습성을 만족시켜주고, 스트레스 관리를 위해서 케이지 전체 베딩은  필수적이다.햄스터는 야생에서 거의 모든 동물이 천적이였다. 따라서 숨는 걸 굉장히 좋아하는 동물이다. 그렇기에 최소 3~4개 이상의 빛이 안들어오는 은신처를 케이지에 구비 해주어야한다.",햄스터는 자기만의 영역을 갖고 생활하는 동물이며 그 중에서도  골든햄스터는 철저한 영역동물 이라서 햄스터 한 마리에 케이지 하나가 절대적으로 지켜져야 한다.햄스터는 대체로 독립적인 생활을 하기 때문에 사람과의 정을 느낄 수 없다. 
금붕어,,,,
구피,,,,
네온테트라,,,,
앵무새,,,,
카나리아,,,,
십자매,,,,
뱀,,,,
거북이,,,,
도마뱀,,,,
강아지,,,,
고양이,,,,
라쿤,,,,
